Country Name,Country Code,"Population2023","GrowthRate2023","FertilityRate2022","LifeExpectancy2022","DeathRate2022","MortalityRate2022","NetMigration2022"
Middle East & North Africa (IDA & IBRD countries),TMN,425691336,0.015279751313838076,2.628002794393624,72.28325411622335,5.821883540470319,17.68321582764402,266578.5
Tonga,TON,107773,0.008562765539313899,3.193,71.27,6.885,9.4,-800.0
South Asia (IDA & IBRD),TSA,1938549529,0.01000419361158067,2.216560126190642,68.1609330214255,8.37629590288004,30.658834129369097,-1176069.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1241897817,0.02535342510200156,4.529261270617003,60.764399977527766,8.821960061602292,48.55883325856294,-457736.5
Trinidad and Tobago,TTO,1534937,0.002542709419193656,1.614,74.708,8.096999999999998,13.8,-800.0
Tunisia,TUN,12458223,0.008263599316840287,2.064,74.263,7.601,9.9,-4000.0
Turkiye,TUR,85326000,0.004072574185854938,1.882,78.47499999999998,5.101,8.3,-309826.5
Tuvalu,TUV,11396,0.007425742574257432,3.144,64.854,10.103,17.4,-60.0
Tanzania,TZA,67438106,0.02962480481008289,4.661,66.782,5.959,30.0,-39997.0
Uganda,UGA,48582334,0.02820657578262331,4.468,63.638,5.579,30.2,-122513.5
Ukraine,UKR,37000000,-0.02631578947368418,1.265,68.5879268292683,21.4,7.0,-2444431.0
Upper middle income,UMC,2810588102,0.00261780099856046,1.5901463559649016,75.69569211262545,7.77053485709075,10.8,-3300453.5
Uruguay,URY,3423108,9.173791937233666e-05,1.483,78.0,9.879,5.6,-1500.0
United States,USA,334914895,0.004931368085455024,1.665,77.43414634146342,9.8,5.4,999120.0
Uzbekistan,UZB,36412350,0.02143873025490839,3.308,71.674,4.8,11.9,-19999.0
St. Vincent and the Grenadines,VCT,103698,-0.002405048678185251,1.778,68.972,14.004,10.1,-200.0
"Venezuela, RB",VEN,28838499,0.018967167197329715,2.188,71.105,8.099999999999998,21.2,309409.5
British Virgin Islands,VGB,31538,0.007442900495128634,1.015,76.373,6.515,11.6,200.0
Virgin Islands (U.S.),VIR,104917,-0.004705302002599332,2.0,80.31951219512197,8.8,,-450.0
Viet Nam,VNM,98858950,0.0068450506246986445,1.941,74.58,6.831,16.2,-82700.0
Vanuatu,VUT,334506,0.023768133684274995,3.697,70.492,5.312,15.6,0.0
World,WLD,8024997028,0.009231052512477689,2.2612788600466702,71.99635238358407,8.379020071090496,27.9,0.0
Samoa,WSM,225681,0.01483483375453054,3.875,72.598,5.45,13.9,-1500.0
Kosovo,XKX,1756374,-0.006624112175538932,1.51,79.524,5.709,8.699999999999998,-5000.0
"Yemen, Rep.",YEM,34449825,0.022352720662081937,3.716,63.72,6.824,33.1,-29956.0
South Africa,ZAF,60414495,0.008692206224391708,2.341,61.48,12.032,27.7,58496.0
Zambia,ZMB,20569737,0.02757872729974875,4.242,61.803,6.716,39.0,-5000.0
Zimbabwe,ZWE,16665409,0.021131167436463597,3.437,59.391,8.942999999999998,34.6,-9999.0
